Plot;Trt;Species;Sp_code;X1999;X2000;X2001;X2002;X2003;X2004;X2005;X2006;X2007;X2008;X2009;X2010;X2011;X2012;X2013;X2014
21;UR;Carex hartmanii;CareHart;0.51;0.53;0.86;0.8844;1.774;0.795;1.7;0.593;1.01;0.19;0.705;0.783;0.83;1.788;2.202;0.955
21;UR;Carex leporina;CareLepo;0;0;0;0;0.0486;0;0;0;0;0;0.093;0;0;0;0;0
21;UR;Carex nigra;CareNigr;0.13;0;0;0;0;0;0;0;0;0;0;0.226;0;0;0.199;0.371
21;UR;Carex palescens;CarePall;1.77;0.39;0.23;0.1679;1.439;0.782;2.3;0.385;1.163;0.422;1.859;3.566;3.065;1.455;3.105;2.076
21;UR;Carex panicea;CarePani;0.95;0.35;0.33;0.1691;0.9591;1.274;1.3;0.355;1.387;0.984;1.343;2.663;2.504;1.274;1.725;1.282
21;UR;Carex piluliferra;CarePilu;0.09;0.07;0.14;0.2787;0.1768;0.535;0.66;0.065;0.721;0.977;0.967;1.875;1.658;2.159;0.921;1.573
21;UR;Carex umbrosa;CareUmbr;0;0.63;0.95;0.5999;0.2314;0.124;0.04;0.659;0.693;0;0.31;0.049;0.522;0.556;0.658;0.911
21;UR;Centaurea jacea;CentJace;0;0;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0
21;UR;Cerastium vulgare (Syn. C. holosteoides);CeraHolo;0;0;0;0.0038;0;0;0.027;0;0;0;0;0;0.029;0;0;1.556
21;UR;Cirsium palustre;CirsPalu;1.19;2.53;1.47;0.1332;0;0.039;0;2.545;0.04;0.024;0.079;0.46;1.011;0.705;0.727;0
21;UR;Cynosurus cristatus;CynCris;0;0.2;0;0;0;0;0;0.312;0;0;0;0;0;0;0;0
21;UR;Danthonia decumbens (Syn. Sieglingia decumbens);DantDecu;0.05;0.19;0.65;0.7459;0.5325;0.971;1.54;0.243;3.153;0.916;2.086;2.184;4.788;5.291;4.148;14.575
21;UR;Deschampsia cespitosa;DescCesp;0;0;0;0;0;0.133;0;0;0;0;0.015;0;0;0;0;0
21;UR;Equisetum arvense;EquiArve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.652
21;UR;Festuca ovina;FestOvin;1.48;2.45;5.39;0.4902;1.437;0.27;0.589;2.44;1.162;1.178;1.05;1.075;0.554;1.965;1.055;2.028
21;UR;Festuca pratensis;FestPrat;0.03;0;0;0.036;0;0.553;0.266;0;0.287;0;0;0;0;0;0;0
21;UR;Festuca rubra;FestRubr;8.43;6.65;7.96;4.018;2.106;2.467;5.12;6.67;2.849;2.275;3.803;3.877;4.318;5.055;4.154;2.846
21;UR;Galium boreale;GaliBore;0.22;0.39;0.34;0.6483;0.2676;0.593;1.03;0.385;1.163;1.189;1.188;0.666;1.581;1.098;0.462;0
21;UR;Galium uliginosum;GaliUlig;0.01;0;0;0;0;0;0;0;0.003;0;0;0.002;0;0;0;0.868
21;UR;Helictotrichon pubescens (Syn. Avenula pubescens);HeliPube;0.07;0.34;0.79;0.0154;0.0946;0.189;0;0.35;0.43;0.697;0.491;0;0.101;0.034;0;0.182
21;UR;Hieracium umbelatum;HierUmbe;0;0.39;0.03;0.1377;0.2199;0.437;0.7;0.396;0.643;0.626;1.03;1.197;1.07;0.819;0.138;0.379
21;UR;Holcus lanatus;HolcLana;4.69;2.96;4.4;1.296;0.635;0.632;0.2;2.977;2.389;1.352;1.485;1.171;0.955;1.969;2.787;2.864
21;UR;Juncus effusus;JuncEffu;2.66;0.57;0.65;1.184;10.997;2.733;1.1;0.579;2.256;0.816;2.206;5.121;6.963;3.209;12.592;9.823
21;UR;Lathyrus pratensis;LathPrat;1.02;0.08;0.25;0.1941;0.2268;0.038;0.049;0.056;0.522;0.234;0.274;1.579;0.52;0.318;0.432;0
21;UR;Leontodon hispidus;LeonHisp;0;0;0;0;0;0;0;0.081;0;0;0;0;0;0;0;0.088
